date,price_usd,increasedprice_btc,24h_volume_usd,percent_change_1h,percent_change_24h,percent_change_7d
2017/11/16 10:24,1056.2,1,0.141812,1530590000.0,-2.03,-18.69,67.93
2017/11/16 10:29,1047.0,0,0.140983,1529500000.0,-2.4,-19.4,66.48
2017/11/16 10:34,1066.75,1,0.143205,1558650000.0,-0.37,-17.86,69.63
2017/11/16 10:39,1057.61,0,0.142067,1553860000.0,-0.77,-18.56,68.2
2017/11/16 10:44,1057.69,1,0.141926,1559870000.0,-0.54,-18.54,68.22
2017/11/16 10:49,1051.84,0,0.141187,1554080000.0,-0.75,-18.99,67.28
2017/11/16 10:54,1044.33,0,0.140252,1546960000.0,-1.28,-19.56,66.1
2017/11/16 10:59,1035.48,0,0.13884,1545030000.0,-1.94,-20.21,64.69
2017/11/16 11:04,1027.02,0,0.137553,1537280000.0,-2.25,-20.84,63.35
2017/11/16 11:09,1016.41,0,0.136144,1538640000.0,-3.32,-21.62,61.67
2017/11/16 11:14,1020.21,1,0.135921,1559030000.0,-2.95,-21.33,62.28
2017/11/16 11:19,1004.42,0,0.134297,1555610000.0,-4.54,-22.48,59.78
2017/11/16 11:24,997.193,0,0.132361,1569220000.0,-5.19,-23.0,58.62
2017/11/16 11:29,1004.02,1,0.133339,1591840000.0,-4.86,-22.43,59.71
2017/11/16 11:34,1019.62,1,0.135488,1626830000.0,-3.54,-21.17,62.19
2017/11/16 11:39,1026.02,1,0.137401,1650400000.0,-2.86,-20.66,63.2
2017/11/16 11:44,1039.33,1,0.138957,1678880000.0,-1.16,-19.54,65.31
2017/11/16 11:49,1046.73,1,0.14008,1706940000.0,-0.19,-18.96,66.48
2017/11/16 11:54,1038.02,0,0.139034,1704320000.0,-0.33,-19.59,65.1
2017/11/16 11:59,1036.93,0,0.138693,1711820000.0,0.08,-19.65,64.91
2017/11/16 12:04,1021.18,0,0.136273,1706780000.0,-1.1,-20.84,62.41
2017/11/16 12:09,1018.67,0,0.135744,1712620000.0,-0.58,-21.01,62.0
2017/11/16 12:14,1027.0,1,0.136997,1730900000.0,1.53,-20.31,63.33
2017/11/16 12:19,1042.31,1,0.13913,1755740000.0,3.17,-19.08,65.75
2017/11/16 12:24,1048.61,1,0.140098,1771540000.0,3.63,-18.52,66.75
2017/11/16 12:29,1080.49,1,0.144593,1827250000.0,6.44,-15.97,71.82
2017/11/16 12:34,1069.16,0,0.143641,1834580000.0,4.86,-16.78,70.02
2017/11/16 12:39,1098.59,1,0.147389,1888300000.0,7.24,-14.42,74.69
2017/11/16 12:44,1110.26,1,0.149509,1934580000.0,7.33,-13.38,76.55
2017/11/16 12:49,1098.99,0,0.148683,1941580000.0,6.21,-14.25,74.75
2017/11/16 12:54,1085.46,0,0.146435,1937770000.0,5.03,-15.24,72.59
2017/11/16 12:59,1099.9,1,0.14783,1966740000.0,6.43,-14.07,74.89
2017/11/16 13:12,1068.62,0,0.143962,1951700000.0,3.5,-16.42,69.92
2017/11/16 13:17,1066.41,0,0.142943,1960310000.0,3.29,-16.59,69.57
2017/11/16 13:22,1075.07,1,0.14386,1970160000.0,3.4,-15.87,70.95
2017/11/16 13:27,1069.86,0,0.143276,1956190000.0,0.83,-16.25,70.13
2017/11/16 13:32,1065.0,0,0.142644,1948810000.0,0.37,-16.57,69.36
2017/11/16 13:37,1063.34,0,0.142118,1949210000.0,-1.08,-16.66,69.09
2017/11/16 13:42,1066.69,1,0.142698,1952310000.0,-1.63,-16.33,69.62
